"","CODE_IRIS","NB_NIV","n","poidsFitAIC","poidsFitCHI2"
"451",341720803,6,4,0.00739290915142515,0.0307143366608536
"452",341720803,7,1,0.001789260329943,0.0207277387576979
"453",341720803,8,1,0.000378913213309167,0.0139882283231908
"454",341720803,9,1,7.13269156558751e-05,0.00944003269768388
"455",341720103,1,98,0.365784046407456,0.217581346270098
"456",341720103,2,84,0.32183914116146,0.147966588018254
"457",341720103,3,26,0.18878248664453,0.100624945773545
"458",341720103,4,21,0.0830511800128114,0.0684301763495408
"459",341720103,5,15,0.0292293999263105,0.0465360651797772
"460",341720103,6,1,0.0085726036635924,0.0316469352841439
"461",341720103,7,0,0.00215505720047947,0.021521555572215
"462",341720103,8,2,0.000474037731667182,0.0146357727877683
"463",341720703,1,69,0.450801393455375,0.214175185043519
"464",341720703,2,69,0.247579497114067,0.147625481479126
"465",341720703,3,34,0.135970314824065,0.1017544715907
"466",341720703,4,15,0.0746747074328104,0.0701367567777697
"467",341720703,5,5,0.041011245266227,0.0483434739958259
"468",341720703,6,0,0.0225233187528717,0.0333219211345948
"469",341720703,7,0,0.0123697752738376,0.0229679486458922
"470",341720703,8,2,0.00679346334366176,0.0158312200208848
"471",341720703,9,3,0.00373096060195103,0.0109120553695808
"472",341720102,1,111,0.31447683821829,0.210932812485825
"473",341720102,2,90,0.3133760309939,0.147158165075918
"474",341720102,3,104,0.208186051385915,0.102665513692738
"475",341720102,4,25,0.103728654328311,0.0716250280530214
"476",341720102,5,10,0.0413462233694687,0.0499695025045102
"477",341720102,6,6,0.0137338311352493,0.0348614338929103
"478",341720102,7,2,0.00391021619624238,0.0243212261911165
"479",341720109,1,199,0.365166694505132,0.217506729811879
"480",341720109,2,154,0.321778091244599,0.147960888256982
"481",341720109,3,53,0.189029908008331,0.100651710743525
"482",341720109,4,56,0.0832848174578091,0.0684692217986875
"483",341720109,5,31,0.0293556121020801,0.0465767973448923
"484",341720109,6,1,0.00862253957956128,0.0316842808186956
"485",341720108,1,29,0.240193118789267,0.199400053359273
"486",341720108,2,115,0.287683220454486,0.144553935886826
"487",341720108,3,47,0.229708593785529,0.104793554607145
"488",341720108,4,35,0.137562866828567,0.0759694920780192
