CODE_IRIS,id_2,count,unique,min,max,range,sum,mean,median,stddev,minority,majority,q1,q3,iqr
340570103,284848,16,3,1,3,2,30,1.875,2,0.484122918275927,3,2,2,2,0
341722504,258221,9,2,4,5,1,41,4.55555555555556,5,0.496903994999953,4,5,4,5,1
340900103,325872,3,1,1,1,0,3,1,1,0,1,1,1,1,0
343070000,403699,2,2,1,2,1,3,1.5,1.5,0.5,1,1,1,2,1
340570103,299890,6,2,1,2,1,10,1.66666666666667,2,0.471404520791032,1,2,1,2,1
341160102,190412,6,2,1,2,1,11,1.83333333333333,2,0.372677996249965,1,2,2,2,0
341980102,334249,6,2,1,2,1,10,1.66666666666667,2,0.471404520791032,1,2,1,2,1
340580101,397605,1,1,2,2,0,2,2,2,0,2,2,2,2,0
341160101,180152,5,2,1,2,1,9,1.8,2,0.4,1,2,2,2,0
340770101,282723,3,3,1,3,2,6,2,2,0.816496580927726,1,1,1.5,2.5,1
341230101,184341,5,1,1,1,0,5,1,1,0,1,1,1,1,0
342440000,434576,1,1,2,2,0,2,2,2,0,2,2,2,2,0
340770102,280023,2,2,1,2,1,3,1.5,1.5,0.5,1,1,1,2,1
340570106,312863,2,1,2,2,0,4,2,2,0,2,2,2,2,0
341720901,201445,1,1,2,2,0,2,2,2,0,2,2,2,2,0
341721101,231568,1,1,5,5,0,5,5,5,0,5,5,5,5,0
341721701,256917,4,2,1,2,1,7,1.75,2,0.433012701892219,1,2,1.5,2,0.5
342020102,118046,5,1,2,2,0,10,2,2,0,2,2,2,2,0
342590102,155594,7,2,1,2,1,12,1.71428571428571,2,0.451753951452626,1,2,1.5,2,0.5
341722102,285580,1,1,2,2,0,2,2,2,0,2,2,2,2,0
341722101,291035,2,2,4,7,3,11,5.5,5.5,1.5,4,4,4,7,3
341721001,229501,4,2,1,2,1,7,1.75,2,0.433012701892219,1,2,1.5,2,0.5
340900103,338822,2,1,2,2,0,4,2,2,0,2,2,2,2,0
340570105,312876,1,1,1,1,0,1,1,1,0,1,1,1,1,0
340570103,293049,4,2,1,2,1,5,1.25,1,0.433012701892219,2,1,1,1.5,0.5
341720701,215805,7,2,1,2,1,13,1.85714285714286,2,0.349927106111883,1,2,2,2,0
340270000,414607,1,1,2,2,0,2,2,2,0,2,2,2,2,0
341720202,277995,1,1,1,1,0,1,1,1,0,1,1,1,1,0
340570102,284852,2,2,2,3,1,5,2.5,2.5,0.5,2,2,2,3,1
341720901,204895,1,1,3,3,0,3,3,3,0,3,3,3,3,0
340950101,144782,3,2,1,2,1,5,1.66666666666667,2,0.471404520791032,1,2,1.5,2,0.5
340570104,304670,5,1,1,1,0,5,1,1,0,1,1,1,1,0
340220103,419542,4,2,1,2,1,5,1.25,1,0.433012701892219,2,1,1,1.5,0.5
342590101,146682,5,2,2,3,1,12,2.4,2,0.489897948556636,3,2,2,3,1
341721802,278753,2,2,1,6,5,7,3.5,3.5,2.5,1,1,1,6,5
340880101,62645,1,1,1,1,0,1,1,1,0,1,1,1,1,0
341690000,243050,1,1,2,2,0,2,2,2,0,2,2,2,2,0
343070000,404383,2,1,1,1,0,2,1,1,0,1,1,1,1,0
342590102,156966,6,2,1,2,1,9,1.5,1.5,0.5,1,1,1,2,1
341721502,269888,6,3,1,7,6,17,2.83333333333333,1,2.60874597374975,6,1,1,6,5
341722304,263658,2,2,5,6,1,11,5.5,5.5,0.5,5,5,5,6,1
342560000,442726,5,2,1,2,1,7,1.4,1,0.489897948556636,2,1,1,2,1
341720902,213090,2,1,2,2,0,4,2,2,0,2,2,2,2,0
341290107,269233,2,2,1,2,1,3,1.5,1.5,0.5,1,1,1,2,1
