"","taux","scenario","densifyGround","maxBuiltRatio","maximumDensity","PopNotPutUp","UnbuiltArea","AvgCellPop","AreaExpansion","BuiltFloorArea","CellesOpenTiUrb","AvgArtifRate","impact","GrndDensifiedCells"
"236",0,"stable",FALSE,64,TRUE,0,0,NA,0,0,0,NA,0,0
"237",0,"stable",FALSE,65,FALSE,0,0,NA,0,0,0,NA,0,0
"238",0,"stable",FALSE,65,TRUE,0,0,NA,0,0,0,NA,0,0
"239",0,"stable",FALSE,66,FALSE,0,0,NA,0,0,0,NA,0,0
"240",0,"stable",FALSE,66,TRUE,0,0,NA,0,0,0,NA,0,0
"241",0,"stable",FALSE,67,FALSE,0,0,NA,0,0,0,NA,0,0
"242",0,"stable",FALSE,67,TRUE,0,0,NA,0,0,0,NA,0,0
"243",0,"stable",FALSE,68,FALSE,0,0,NA,0,0,0,NA,0,0
"244",0,"stable",FALSE,68,TRUE,0,0,NA,0,0,0,NA,0,0
"245",0,"stable",FALSE,69,FALSE,0,0,NA,0,0,0,NA,0,0
"246",0,"stable",FALSE,69,TRUE,0,0,NA,0,0,0,NA,0,0
"247",0,"stable",FALSE,70,FALSE,0,0,NA,0,0,0,NA,0,0
"248",0,"stable",FALSE,70,TRUE,0,0,NA,0,0,0,NA,0,0
"249",0,"stable",FALSE,71,FALSE,0,0,NA,0,0,0,NA,0,0
"250",0,"stable",FALSE,71,TRUE,0,0,NA,0,0,0,NA,0,0
"251",0,"stable",FALSE,72,FALSE,0,0,NA,0,0,0,NA,0,0
"252",0,"stable",FALSE,72,TRUE,0,0,NA,0,0,0,NA,0,0
"253",0,"stable",FALSE,73,FALSE,0,0,NA,0,0,0,NA,0,0
"254",0,"stable",FALSE,73,TRUE,0,0,NA,0,0,0,NA,0,0
"255",0,"stable",FALSE,74,FALSE,0,0,NA,0,0,0,NA,0,0
"256",0,"stable",FALSE,74,TRUE,0,0,NA,0,0,0,NA,0,0
"257",0,"stable",FALSE,75,FALSE,0,0,NA,0,0,0,NA,0,0
"258",0,"stable",FALSE,75,TRUE,0,0,NA,0,0,0,NA,0,0
"259",0,"stable",FALSE,76,FALSE,0,0,NA,0,0,0,NA,0,0
"260",0,"stable",FALSE,76,TRUE,0,0,NA,0,0,0,NA,0,0
"261",0,"stable",FALSE,77,FALSE,0,0,NA,0,0,0,NA,0,0
"262",0,"stable",FALSE,77,TRUE,0,0,NA,0,0,0,NA,0,0
"263",0,"stable",FALSE,78,FALSE,0,0,NA,0,0,0,NA,0,0
"264",0,"stable",FALSE,78,TRUE,0,0,NA,0,0,0,NA,0,0
"265",0,"stable",FALSE,79,FALSE,0,0,NA,0,0,0,NA,0,0
"266",0,"stable",FALSE,79,TRUE,0,0,NA,0,0,0,NA,0,0
"267",0,"stable",FALSE,80,FALSE,0,0,NA,0,0,0,NA,0,0
"268",0,"stable",FALSE,80,TRUE,0,0,NA,0,0,0,NA,0,0
"269",0,"stable",FALSE,81,FALSE,0,0,NA,0,0,0,NA,0,0
"270",0,"stable",FALSE,81,TRUE,0,0,NA,0,0,0,NA,0,0
"271",0,"stable",FALSE,82,FALSE,0,0,NA,0,0,0,NA,0,0
"272",0,"stable",FALSE,82,TRUE,0,0,NA,0,0,0,NA,0,0
"273",0,"stable",FALSE,83,FALSE,0,0,NA,0,0,0,NA,0,0
"274",0,"stable",FALSE,83,TRUE,0,0,NA,0,0,0,NA,0,0
"275",0,"stable",FALSE,84,FALSE,0,0,NA,0,0,0,NA,0,0
"276",0,"stable",FALSE,84,TRUE,0,0,NA,0,0,0,NA,0,0
"277",0,"stable",FALSE,85,FALSE,0,0,NA,0,0,0,NA,0,0
"278",0,"stable",FALSE,85,TRUE,0,0,NA,0,0,0,NA,0,0
"279",0,"stable",FALSE,86,FALSE,0,0,NA,0,0,0,NA,0,0
"280",0,"stable",FALSE,86,TRUE,0,0,NA,0,0,0,NA,0,0
"281",0,"stable",FALSE,87,FALSE,0,0,NA,0,0,0,NA,0,0
"282",0,"stable",FALSE,87,TRUE,0,0,NA,0,0,0,NA,0,0
"283",0,"stable",FALSE,88,FALSE,0,0,NA,0,0,0,NA,0,0
"284",0,"stable",FALSE,88,TRUE,0,0,NA,0,0,0,NA,0,0
"285",0,"stable",FALSE,89,FALSE,0,0,NA,0,0,0,NA,0,0
"286",0,"stable",FALSE,89,TRUE,0,0,NA,0,0,0,NA,0,0
"287",0,"stable",FALSE,90,FALSE,0,0,NA,0,0,0,NA,0,0
"288",0,"stable",FALSE,90,TRUE,0,0,NA,0,0,0,NA,0,0
"289",0,"stable",FALSE,91,FALSE,0,0,NA,0,0,0,NA,0,0
"290",0,"stable",FALSE,91,TRUE,0,0,NA,0,0,0,NA,0,0
"291",0,"stable",FALSE,92,FALSE,0,0,NA,0,0,0,NA,0,0
"292",0,"stable",FALSE,92,TRUE,0,0,NA,0,0,0,NA,0,0
"293",0,"stable",FALSE,93,FALSE,0,0,NA,0,0,0,NA,0,0
"294",0,"stable",FALSE,93,TRUE,0,0,NA,0,0,0,NA,0,0
"295",0,"stable",FALSE,94,FALSE,0,0,NA,0,0,0,NA,0,0
"296",0,"stable",FALSE,94,TRUE,0,0,NA,0,0,0,NA,0,0
"297",0,"stable",FALSE,95,FALSE,0,0,NA,0,0,0,NA,0,0
"298",0,"stable",FALSE,95,TRUE,0,0,NA,0,0,0,NA,0,0
"299",0,"stable",FALSE,96,FALSE,0,0,NA,0,0,0,NA,0,0
"300",0,"stable",FALSE,96,TRUE,0,0,NA,0,0,0,NA,0,0
"301",0,"stable",FALSE,97,FALSE,0,0,NA,0,0,0,NA,0,0
"302",0,"stable",FALSE,97,TRUE,0,0,NA,0,0,0,NA,0,0
"303",0,"stable",FALSE,98,FALSE,0,0,NA,0,0,0,NA,0,0
"304",0,"stable",FALSE,98,TRUE,0,0,NA,0,0,0,NA,0,0
"305",0,"stable",FALSE,99,FALSE,0,0,NA,0,0,0,NA,0,0
"306",0,"stable",FALSE,99,TRUE,0,0,NA,0,0,0,NA,0,0
"307",0,"stable",TRUE,100,FALSE,0,0,NA,0,0,0,NA,0,0
"308",0,"stable",TRUE,100,TRUE,0,0,NA,0,0,0,NA,0,0
"309",0,"stable",TRUE,50,FALSE,0,0,NA,0,0,0,NA,0,0
"310",0,"stable",TRUE,50,TRUE,0,0,NA,0,0,0,NA,0,0
"311",0,"stable",TRUE,51,FALSE,0,0,NA,0,0,0,NA,0,0
"312",0,"stable",TRUE,51,TRUE,0,0,NA,0,0,0,NA,0,0
"313",0,"stable",TRUE,52,FALSE,0,0,NA,0,0,0,NA,0,0
"314",0,"stable",TRUE,52,TRUE,0,0,NA,0,0,0,NA,0,0
"315",0,"stable",TRUE,53,FALSE,0,0,NA,0,0,0,NA,0,0
"316",0,"stable",TRUE,53,TRUE,0,0,NA,0,0,0,NA,0,0
"317",0,"stable",TRUE,54,FALSE,0,0,NA,0,0,0,NA,0,0
"318",0,"stable",TRUE,54,TRUE,0,0,NA,0,0,0,NA,0,0
"319",0,"stable",TRUE,55,FALSE,0,0,NA,0,0,0,NA,0,0
"320",0,"stable",TRUE,55,TRUE,0,0,NA,0,0,0,NA,0,0
