"","surface","dBestAD","dBestCVM","dBestKS","dBestAIC","CODE_IRIS"
"183",870,2.04307694123998e-06,2.04307694123998e-06,1.62701415457259e-06,1.62701415457259e-06,"340570103"
"184",890,1.68185057633856e-06,1.68185057633856e-06,1.33127059731692e-06,1.33127059731692e-06,"340570103"
"185",910,1.38449086475109e-06,1.38449086475109e-06,1.08928456356677e-06,1.08928456356677e-06,"340570103"
"186",930,1.13970585826487e-06,1.13970585826487e-06,8.91284508811531e-07,8.91284508811531e-07,"340570103"
"187",950,9.38200082379597e-07,9.38200082379597e-07,7.29275069359521e-07,7.29275069359521e-07,"340570103"
"188",970,7.72321549629621e-07,7.72321549629621e-07,5.96714204646629e-07,5.96714204646629e-07,"340570103"
"189",10,0.00878353262863232,0.00878353262863232,0.00907331406210296,0.00907331406210296,"340570105"
"190",30,0.007230559513235,0.007230559513235,0.00742405110438205,0.00742405110438205,"340570105"
"191",50,0.00595215992071447,0.00595215992071447,0.00607457588519775,0.00607457588519775,"340570105"
"192",70,0.0048997878596962,0.0048997878596962,0.00497039576724432,0.00497039576724432,"340570105"
"193",90,0.00403348051628701,0.00403348051628701,0.00406692327990171,0.00406692327990171,"340570105"
"194",110,0.00332034070476587,0.00332034070476587,0.00332767564981581,0.00332767564981581,"340570105"
"195",130,0.00273328762868893,0.00273328762868893,0.00272280160412681,0.00272280160412681,"340570105"
"196",150,0.00225002851376686,0.00225002851376686,0.00222787595775625,0.00222787595775625,"340570105"
"197",170,0.00185221206126494,0.00185221206126494,0.0018229133094477,0.0018229133094477,"340570105"
"198",190,0.00152473157513541,0.00152473157513541,0.00149156101900227,0.00149156101900227,"340570105"
"199",210,0.00125515129980701,0.00125515129980701,0.00122043887763437,0.00122043887763437,"340570105"
"200",230,0.00103323418436279,0.00103323418436279,0.000998598806931653,0.000998598806931653,"340570105"
"201",250,0.000850553140406247,0.000850553140406247,0.00081708276873172,0.00081708276873172,"340570105"
"202",270,0.000700171031508299,0.000700171031508299,0.000668561034044964,0.000668561034044964,"340570105"
"203",290,0.00057637724214297,0.00057637724214297,0.000547036204100922,0.000547036204100922,"340570105"
"204",310,0.000474470822571297,0.000474470822571297,0.000447601031706283,0.000447601031706283,"340570105"
"205",330,0.00039058197480955,0.00039058197480955,0.00036624026359244,0.00036624026359244,"340570105"
"206",350,0.000321525100783629,0.000321525100783629,0.000299668502024985,0.000299668502024985,"340570105"
"207",370,0.00026467783231505,0.00026467783231505,0.000245197538427482,0.000245197538427482,"340570105"
"208",390,0.000217881449218911,0.000217881449218911,0.000200627801869827,0.000200627801869827,"340570105"
"209",410,0.000179358903987191,0.000179358903987191,0.000164159539044569,0.000164159539044569,"340570105"
"210",430,0.000147647340123779,0.000147647340123779,0.00013432013912414,0.00013432013912414,"340570105"
"211",450,0.000121542541580114,0.000121542541580114,0.000109904668832129,0.000109904668832129,"340570105"
"212",470,0.000100053203812336,0.000100053203812336,8.99272164983115e-05,8.99272164983115e-05,"340570105"
"213",490,8.23632899474496e-05,8.23632899474496e-05,7.35810803405118e-05,7.35810803405118e-05,"340570105"
"214",510,6.78010425702255e-05,6.78010425702255e-05,6.02061933516925e-05,6.02061933516925e-05,"340570105"
"215",530,5.58134743833393e-05,5.58134743833393e-05,4.9262469389236e-05,4.9262469389236e-05,"340570105"
"216",550,4.59453690481697e-05,4.59453690481697e-05,4.03079941651417e-05,4.03079941651417e-05,"340570105"
"217",570,3.78219947834434e-05,3.78219947834434e-05,3.29811804759448e-05,3.29811804759448e-05,"340570105"
"218",590,3.11348742873098e-05,3.11348742873098e-05,2.69861670895927e-05,2.69861670895927e-05,"340570105"
"219",610,2.56300706093622e-05,2.56300706093622e-05,2.20808716873726e-05,2.20808716873726e-05,"340570105"
"220",630,2.10985441398952e-05,2.10985441398952e-05,1.8067215431355e-05,1.8067215431355e-05,"340570105"
"221",650,1.73682145323666e-05,1.73682145323666e-05,1.4783124419389e-05,1.4783124419389e-05,"340570105"
"222",670,1.42974261182273e-05,1.42974261182273e-05,1.20959850414948e-05,1.20959850414948e-05,"340570105"
"223",690,1.17695686695502e-05,1.17695686695502e-05,9.89728896092954e-06,9.89728896092954e-06,"340570105"
"224",710,9.68864923810726e-06,9.68864923810726e-06,8.09825148097506e-06,8.09825148097506e-06,"340570105"
"225",730,7.97564691575599e-06,7.97564691575599e-06,6.62622636441197e-06,6.62622636441197e-06,"340570105"
"226",750,6.56551209167677e-06,6.56551209167677e-06,5.42177233388925e-06,5.42177233388925e-06,"340570105"
